date,food,food_type,quantity,decomposition
2024-08-09,Mango peel,Fruits,2,False
2024-08-09,Mango pit,Fruits,20,False
2024-08-10,plum pit,Fruits,5,False
2024-08-10,corrugated paper,Paper,100,False
